,Symbol,Security,GICS Sector
0,MMM,3M,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie,Health Care
3,ABMD,Abiomed,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADBE,Adobe,Information Technology
7,AMD,Advanced Micro Devices,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AFL,Aflac,Financials
11,A,Agilent Technologies,Health Care
12,APD,Air Products & Chemicals,Materials
13,AKAM,Akamai Technologies,Information Technology
14,ALK,Alaska Air Group,Industrials
15,ALB,Albemarle Corporation,Materials
16,ARE,Alexandria Real Estate Equities,Real Estate
17,ALGN,Align Technology,Health Care
18,ALLE,Allegion,Industrials
19,LNT,Alliant Energy,Utilities
20,ALL,Allstate Corp,Financials
21,GOOGL,Alphabet (Class A),Communication Services
22,GOOG,Alphabet (Class C),Communication Services
23,MO,Altria Group,Consumer Staples
24,AMZN,Amazon,Consumer Discretionary
25,AMCR,Amcor,Materials
26,AEE,Ameren Corp,Utilities
27,AAL,American Airlines Group,Industrials
28,AEP,American Electric Power,Utilities
29,AXP,American Express,Financials
30,AIG,American International Group,Financials
31,AMT,American Tower,Real Estate
32,AWK,American Water Works,Utilities
33,AMP,Ameriprise Financial,Financials
34,ABC,AmerisourceBergen,Health Care
35,AME,Ametek,Industrials
36,AMGN,Amgen,Health Care
37,APH,Amphenol Corp,Information Technology
38,ADI,Analog Devices,Information Technology
39,ANSS,Ansys,Information Technology
40,ANTM,Anthem,Health Care
41,AON,Aon,Financials
42,AOS,A. O. Smith,Industrials
43,APA,APA Corporation,Energy
44,AAPL,Apple,Information Technology
45,AMAT,Applied Materials,Information Technology
46,APTV,Aptiv,Consumer Discretionary
47,ADM,ADM,Consumer Staples
48,ANET,Arista Networks,Information Technology
49,AJG,Arthur J. Gallagher & Co.,Financials
50,AIZ,Assurant,Financials
51,T,AT&T,Communication Services
52,ATO,Atmos Energy,Utilities
53,ADSK,Autodesk,Information Technology
54,ADP,Automatic Data Processing,Information Technology
55,AZO,AutoZone,Consumer Discretionary
56,AVB,AvalonBay Communities,Real Estate
57,AVY,Avery Dennison,Materials
58,BKR,Baker Hughes,Energy
59,BLL,Ball Corp,Materials
60,BAC,Bank of America,Financials
61,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
62,BAX,Baxter International,Health Care
63,BDX,Becton Dickinson,Health Care
64,BRK.B,Berkshire Hathaway,Financials
65,BBY,Best Buy,Consumer Discretionary
66,BIO,Bio-Rad Laboratories,Health Care
67,TECH,Bio-Techne,Health Care
68,BIIB,Biogen,Health Care
69,BLK,BlackRock,Financials
70,BK,BNY Mellon,Financials
71,BA,Boeing,Industrials
72,BKNG,Booking Holdings,Consumer Discretionary
73,BWA,BorgWarner,Consumer Discretionary
74,BXP,Boston Properties,Real Estate
75,BSX,Boston Scientific,Health Care
76,BMY,Bristol Myers Squibb,Health Care
77,AVGO,Broadcom,Information Technology
78,BR,Broadridge Financial Solutions,Information Technology
79,BRO,Brown & Brown,Financials
80,BF.B,Brown–Forman,Consumer Staples
81,CHRW,C. H. Robinson,Industrials
82,COG,Cabot Oil & Gas,Energy
83,CDNS,Cadence Design Systems,Information Technology
84,CZR,Caesars Entertainment,Consumer Discretionary
85,CPB,Campbell Soup,Consumer Staples
86,COF,Capital One Financial,Financials
87,CAH,Cardinal Health,Health Care
88,KMX,CarMax,Consumer Discretionary
89,CCL,Carnival Corporation,Consumer Discretionary
90,CARR,Carrier Global,Industrials
91,CTLT,Catalent,Health Care
92,CAT,Caterpillar,Industrials
93,CBOE,Cboe Global Markets,Financials
94,CBRE,CBRE,Real Estate
95,CDW,CDW,Information Technology
96,CE,Celanese,Materials
97,CNC,Centene Corporation,Health Care
98,CNP,CenterPoint Energy,Utilities
99,CDAY,Ceridian,Information Technology
100,CERN,Cerner,Health Care
101,CF,CF Industries,Materials
102,CRL,Charles River Laboratories,Health Care
103,SCHW,Charles Schwab Corporation,Financials
104,CHTR,Charter Communications,Communication Services
105,CVX,Chevron Corporation,Energy
106,CMG,Chipotle Mexican Grill,Consumer Discretionary
107,CB,Chubb,Financials
108,CHD,Church & Dwight,Consumer Staples
109,CI,Cigna,Health Care
110,CINF,Cincinnati Financial,Financials
111,CTAS,Cintas Corporation,Industrials
112,CSCO,Cisco Systems,Information Technology
113,C,Citigroup,Financials
114,CFG,Citizens Financial Group,Financials
115,CTXS,Citrix Systems,Information Technology
116,CLX,Clorox,Consumer Staples
117,CME,CME Group,Financials
118,CMS,CMS Energy,Utilities
119,KO,Coca-Cola Company,Consumer Staples
120,CTSH,Cognizant Technology Solutions,Information Technology
121,CL,Colgate-Palmolive,Consumer Staples
122,CMCSA,Comcast,Communication Services
123,CMA,Comerica,Financials
124,CAG,Conagra Brands,Consumer Staples
125,COP,ConocoPhillips,Energy
126,ED,Consolidated Edison,Utilities
127,STZ,Constellation Brands,Consumer Staples
128,COO,The Cooper Companies,Health Care
129,CPRT,Copart,Industrials
130,GLW,Corning,Information Technology
131,CTVA,Corteva,Materials
132,COST,Costco,Consumer Staples
133,CCI,Crown Castle,Real Estate
134,CSX,CSX,Industrials
135,CMI,Cummins,Industrials
136,CVS,CVS Health,Health Care
137,DHI,D. R. Horton,Consumer Discretionary
138,DHR,Danaher Corporation,Health Care
139,DRI,Darden Restaurants,Consumer Discretionary
140,DVA,DaVita,Health Care
141,DE,Deere & Co.,Industrials
142,DAL,Delta Air Lines,Industrials
143,XRAY,Dentsply Sirona,Health Care
144,DVN,Devon Energy,Energy
145,DXCM,DexCom,Health Care
146,FANG,Diamondback Energy,Energy
147,DLR,Digital Realty Trust,Real Estate
148,DFS,Discover Financial Services,Financials
149,DISCA,Discovery (Series A),Communication Services
150,DISCK,Discovery (Series C),Communication Services
151,DISH,Dish Network,Communication Services
152,DG,Dollar General,Consumer Discretionary
153,DLTR,Dollar Tree,Consumer Discretionary
154,D,Dominion Energy,Utilities
155,DPZ,Domino's Pizza,Consumer Discretionary
156,DOV,Dover Corporation,Industrials
157,DOW,Dow,Materials
158,DTE,DTE Energy,Utilities
159,DUK,Duke Energy,Utilities
160,DRE,Duke Realty Corp,Real Estate
161,DD,DuPont,Materials
162,DXC,DXC Technology,Information Technology
163,EMN,Eastman Chemical,Materials
164,ETN,Eaton Corporation,Industrials
165,EBAY,eBay,Consumer Discretionary
166,ECL,Ecolab,Materials
167,EIX,Edison International,Utilities
168,EW,Edwards Lifesciences,Health Care
169,EA,Electronic Arts,Communication Services
170,EMR,Emerson Electric Company,Industrials
171,ENPH,Enphase Energy,Information Technology
172,ETR,Entergy,Utilities
173,EOG,EOG Resources,Energy
174,EFX,Equifax,Industrials
175,EQIX,Equinix,Real Estate
176,EQR,Equity Residential,Real Estate
177,ESS,Essex Property Trust,Real Estate
178,EL,Estée Lauder Companies,Consumer Staples
179,ETSY,Etsy,Consumer Discretionary
180,EVRG,Evergy,Utilities
181,ES,Eversource Energy,Utilities
182,RE,Everest Re,Financials
183,EXC,Exelon,Utilities
184,EXPE,Expedia Group,Consumer Discretionary
185,EXPD,Expeditors,Industrials
186,EXR,Extra Space Storage,Real Estate
187,XOM,ExxonMobil,Energy
188,FFIV,F5 Networks,Information Technology
189,FB,Facebook,Communication Services
190,FAST,Fastenal,Industrials
191,FRT,Federal Realty Investment Trust,Real Estate
192,FDX,FedEx,Industrials
193,FIS,Fidelity National Information Services,Information Technology
194,FITB,Fifth Third Bancorp,Financials
195,FE,FirstEnergy,Utilities
196,FRC,First Republic Bank,Financials
197,FISV,Fiserv,Information Technology
198,FLT,Fleetcor,Information Technology
199,FMC,FMC Corporation,Materials
200,F,Ford,Consumer Discretionary
201,FTNT,Fortinet,Information Technology
202,FTV,Fortive,Industrials
203,FBHS,Fortune Brands Home & Security,Industrials
204,FOXA,Fox Corporation (Class A),Communication Services
205,FOX,Fox Corporation (Class B),Communication Services
206,BEN,Franklin Resources,Financials
207,FCX,Freeport-McMoRan,Materials
208,GPS,Gap,Consumer Discretionary
209,GRMN,Garmin,Consumer Discretionary
210,IT,Gartner,Information Technology
211,GNRC,Generac Holdings,Industrials
212,GD,General Dynamics,Industrials
213,GE,General Electric,Industrials
214,GIS,General Mills,Consumer Staples
215,GM,General Motors,Consumer Discretionary
216,GPC,Genuine Parts,Consumer Discretionary
217,GILD,Gilead Sciences,Health Care
218,GL,Globe Life,Financials
219,GPN,Global Payments,Information Technology
220,GS,Goldman Sachs,Financials
221,GWW,W. W. Grainger,Industrials
222,HAL,Halliburton,Energy
223,HBI,Hanesbrands,Consumer Discretionary
